Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.985116756479343,0.9851175954369503,0.9851175954369503,0.9851166830663158,12.849980592727661
RandomForestClassifier,0.984171973779364,0.98417191061948,0.9841719106194801,0.9841719723258325,15.986667156219482
BaggingClassifier,0.9767653439708867,0.9767647697220891,0.9767647697220891,0.9767652687378247,11.07887887954712
XGBClassifier,0.9672125411155434,0.9672128023955757,0.9672128023955758,0.9672125309674827,12.762221097946167
DecisionTreeClassifier,0.9592110481255978,0.9592134389460067,0.9592134389460067,0.9592092336630833,1.6988816261291504
ExtraTreeClassifier,0.9567149555602211,0.9567183011357381,0.956718301135738,0.9567111309401034,0.5510380268096924
KNeighborsClassifier,0.9564933398651644,0.956499097554129,0.956499097554129,0.9564817865884726,592.9812114238739
LGBMClassifier,0.9535656798936245,0.9535637355163651,0.9535637355163652,0.9535641644737666,2.308238983154297
SVC,0.8886206172580307,0.8886073021547437,0.8886073021547437,0.8884579551138525,419.67262268066406
AdaBoostClassifier,0.8398185084097324,0.8398209499145775,0.8398209499145773,0.8398109783660755,16.399513244628906
NuSVC,0.8379289430097744,0.8378990673134775,0.8378990673134775,0.8367354915443236,1344.142802476883
LinearSVC,0.8346630275036742,0.8346364492240539,0.8346364492240539,0.8337006281679796,24.032909631729126
CalibratedClassifierCV,0.833321669349383,0.8332980417983165,0.8332980417983165,0.8325555823052309,89.08402848243713
LogisticRegression,0.8331817015419787,0.8331601065389356,0.8331601065389356,0.8325414913259217,2.0818984508514404
SGDClassifier,0.8248069610656216,0.8247576682757268,0.8247576682757268,0.8212540205533283,1.1209518909454346
LinearDiscriminantAnalysis,0.8103202929992769,0.8103037153880601,0.81030371538806,0.809891647195048,1.22627854347229
RidgeClassifierCV,0.8100753493363193,0.8100585308891981,0.810058530889198,0.809633589865859,1.0218052864074707
RidgeClassifier,0.8099237175449646,0.8099069194865578,0.8099069194865577,0.8094826777302153,0.547466516494751
Perceptron,0.8071593533487298,0.8071466568152723,0.8071466568152723,0.806903628667431,0.8203308582305908
PassiveAggressiveClassifier,0.8038934378426296,0.8038791491413837,0.8038791491413838,0.8035641868860777,0.7097330093383789
BernoulliNB,0.7126344274150279,0.7126374818912321,0.7126374818912321,0.7126129100006573,0.6093699932098389
NearestCentroid,0.6895397391933189,0.6895640389024287,0.6895640389024286,0.6880382444236672,0.4528617858886719
QuadraticDiscriminantAnalysis,0.6397345277252898,0.6398366547048003,0.6398366547048003,0.6062052285737094,0.9102914333343506
GaussianNB,0.5814612639093009,0.5816044921799366,0.5816044921799365,0.4972546093846738,0.580981969833374
DummyClassifier,0.5010964144913337,0.5010966023725655,0.5010966023725655,0.5010962861395118,0.41074562072753906
